ID, Splay Tree Integer Sequence, AVL Tree Integer Sequence, Binary Tree Integer Sequence, Splay Tree Random Sequence, AVL Tree Random Sequence, Binary Tree Random Sequence, Splay Tree Duplicate Integer Sequence, AVL Tree Duplicate Integer Sequence, Binary Tree Duplicate Integer Sequence, Splay Tree Prime Integer Sequence, AVL Tree Prime Integer Sequence, Binary Tree Integer Sequence
45, 7, 1, 7, 14, 12, 15, 6, 13, 3, 11, 10, 12, 
46, 6, 13, 7, 14, 11, 13, 3, 13, 3, 9, 10, 11, 
47, 10, 12, 4, 14, 8, 8, 1, 13, 3, 8, 6, 9, 
48, 9, 12, 7, 13, 11, 10, 2, 13, 3, 12, 11, 9, 
49, 9, 5, 6, 7, 8, 6, 3, 13, 3, 9, 12, 13, 
50, 8, 4, 5, 9, 9, 15, 8, 2, 4, 9, 12, 11, 
51, 8, 6, 7, 20, 9, 13, 1, 2, 4, 9, 10, 11, 
52, 7, 5, 8, 17, 11, 15, 2, 2, 4, 10, 10, 9, 
53, 7, 5, 6, 17, 13, 18, 4, 2, 4, 9, 10, 7, 
54, 7, 7, 3, 21, 10, 14, 3, 2, 4, 5, 4, 6, 
55, 9, 6, 5, 12, 10, 9, 12, 4, 3, 5, 7, 9, 
56, 4, 11, 4, 14, 8, 17, 1, 4, 3, 9, 5, 6, 
57, 5, 8, 7, 14, 11, 15, 2, 4, 3, 16, 5, 12, 
58, 13, 9, 5, 16, 12, 22, 3, 4, 3, 7, 9, 11, 
59, 4, 7, 5, 19, 12, 19, 1, 4, 3, 10, 10, 12, 
60, 13, 7, 10, 13, 12, 14, 11, 0, 5, 9, 8, 12, 
61, 8, 5, 6, 14, 12, 13, 1, 0, 5, 11, 11, 15, 
62, 9, 5, 7, 16, 8, 10, 4, 0, 5, 10, 8, 12, 
63, 6, 4, 7, 21, 13, 21, 2, 0, 5, 13, 4, 11, 
64, 11, 8, 6, 10, 10, 10, 4, 0, 5, 6, 8, 6, 
65, 10, 9, 6, 7, 10, 8, 8, 8, 6, 9, 10, 13, 
66, 15, 10, 7, 9, 12, 10, 3, 8, 6, 12, 12, 9, 
67, 10, 5, 8, 21, 12, 11, 2, 8, 6, 11, 11, 8, 
68, 15, 7, 7, 14, 11, 16, 2, 8, 6, 10, 10, 12, 
69, 7, 4, 9, 20, 13, 15, 3, 8, 6, 12, 10, 5, 
70, 14, 7, 6, 16, 8, 10, 12, 6, 4, 10, 7, 14, 
71, 9, 6, 8, 16, 12, 14, 2, 6, 4, 14, 9, 10, 
72, 8, 6, 7, 16, 12, 17, 3, 6, 4, 13, 10, 8, 
73, 12, 8, 9, 12, 8, 12, 1, 6, 4, 4, 5, 8, 
74, 10, 3, 6, 20, 13, 19, 1, 6, 4, 16, 9, 10, 
75, 9, 7, 8, 16, 11, 15, 17, 4, 6, 14, 7, 17, 
76, 10, 9, 7, 15, 11, 20, 2, 4, 6, 13, 12, 12, 
77, 8, 7, 5, 20, 7, 8, 2, 4, 6, 8, 13, 11, 
78, 13, 9, 6, 13, 11, 19, 2, 4, 6, 12, 10, 11, 
79, 5, 11, 9, 28, 12, 14, 2, 4, 6, 8, 11, 10, 
80, 9, 12, 7, 19, 12, 15, 8, 8, 4, 10, 12, 12, 
81, 5, 11, 10, 19, 12, 11, 4, 8, 4, 7, 13, 15, 
82, 8, 7, 7, 12, 11, 12, 2, 8, 4, 13, 11, 13, 
83, 14, 6, 8, 14, 12, 15, 1, 8, 4, 13, 7, 11, 
84, 7, 11, 7, 15, 8, 18, 2, 8, 4, 19, 8, 6, 
85, 6, 12, 5, 21, 11, 21, 10, 8, 7, 8, 7, 7, 
86, 16, 9, 6, 17, 11, 17, 2, 8, 7, 14, 13, 13, 
87, 8, 9, 8, 17, 13, 14, 3, 8, 7, 16, 12, 13, 
88, 17, 8, 8, 21, 12, 18, 2, 8, 7, 17, 9, 9, 
89, 10, 8, 9, 12, 13, 11, 1, 8, 7, 11, 11, 12, 
90, 9, 14, 8, 13, 11, 12, 9, 3, 3, 16, 7, 13, 
91, 9, 9, 8, 15, 12, 17, 3, 3, 3, 9, 9, 8, 
92, 18, 6, 8, 11, 14, 17, 4, 3, 3, 17, 10, 8, 
93, 12, 5, 10, 9, 10, 10, 2, 3, 3, 7, 13, 7, 
94, 11, 7, 9, 14, 11, 10, 3, 3, 3, 17, 12, 14, 
95, 15, 6, 10, 4, 9, 9, 6, 8, 4, 8, 10, 13, 
96, 11, 8, 8, 21, 11, 14, 2, 8, 4, 16, 14, 14, 
97, 8, 8, 9, 21, 8, 14, 3, 8, 4, 12, 9, 8, 
98, 10, 6, 7, 18, 13, 13, 4, 8, 4, 19, 10, 14, 
99, 8, 7, 10, 13, 14, 20, 2, 8, 4, 14, 8, 10, 
100, 13, 7, 9, 13, 10, 17, 9, 11, 5, 18, 7, 11, 
101, 12, 11, 11, 11, 10, 13, 1, 11, 5, 13, 12, 10, 
102, 11, 5, 7, 10, 14, 15, 4, 11, 5, 18, 11, 7, 
103, 12, 10, 8, 13, 9, 15, 3, 11, 5, 20, 8, 16, 
104, 13, 10, 7, 13, 12, 13, 3, 11, 5, 10, 8, 14, 
105, 13, 5, 11, 24, 12, 20, 12, 7, 4, 8, 8, 10, 
106, 12, 5, 12, 21, 9, 14, 3, 7, 4, 13, 9, 6, 
107, 14, 7, 6, 9, 9, 13, 2, 7, 4, 15, 12, 11, 
108, 12, 9, 6, 20, 10, 18, 1, 7, 4, 12, 11, 9, 
109, 7, 12, 5, 15, 12, 18, 3, 7, 4, 14, 10, 13, 
110, 10, 12, 8, 20, 13, 20, 11, 12, 5, 18, 9, 14, 
111, 10, 7, 8, 17, 13, 16, 3, 12, 5, 8, 8, 12, 
112, 10, 6, 8, 20, 9, 12, 2, 12, 5, 12, 9, 13, 
113, 15, 8, 6, 18, 11, 11, 4, 12, 5, 9, 8, 14, 
114, 11, 8, 4, 15, 9, 15, 2, 12, 5, 14, 10, 16, 
115, 13, 7, 11, 10, 12, 11, 9, 12, 5, 17, 8, 15, 
116, 14, 6, 7, 24, 13, 9, 3, 12, 5, 7, 6, 7, 
117, 13, 8, 9, 20, 7, 8, 4, 12, 5, 9, 11, 14, 
118, 8, 4, 9, 14, 10, 19, 1, 12, 5, 7, 9, 10, 
119, 8, 7, 11, 15, 12, 13, 2, 12, 5, 10, 8, 15, 
120, 7, 5, 11, 21, 9, 24, 7, 8, 8, 12, 10, 11, 
121, 6, 11, 9, 21, 13, 16, 2, 8, 8, 13, 11, 11, 
122, 8, 10, 12, 17, 6, 19, 2, 8, 8, 13, 10, 10, 
123, 12, 12, 6, 17, 8, 11, 2, 8, 8, 10, 9, 12, 
124, 16, 10, 10, 12, 11, 11, 4, 8, 8, 10, 9, 11, 
125, 8, 6, 10, 15, 14, 13, 5, 4, 6, 14, 7, 18, 
126, 12, 6, 8, 15, 10, 13, 3, 4, 6, 8, 12, 13, 
127, 16, 12, 7, 16, 11, 11, 4, 4, 6, 11, 12, 9, 
128, 13, 6, 10, 13, 13, 23, 3, 4, 6, 15, 12, 8, 
129, 9, 10, 9, 17, 10, 27, 3, 4, 6, 15, 13, 14, 
130, 7, 3, 11, 13, 9, 13, 10, 4, 3, 20, 9, 13, 
131, 9, 11, 13, 20, 11, 18, 2, 4, 3, 12, 12, 17, 
132, 15, 10, 8, 19, 12, 14, 1, 4, 3, 12, 12, 8, 
133, 11, 6, 9, 15, 12, 23, 1, 4, 3, 8, 11, 14, 
134, 9, 7, 14, 16, 12, 13, 3, 4, 3, 16, 8, 8, 
135, 6, 9, 12, 17, 13, 13, 12, 7, 4, 21, 10, 7, 
136, 13, 6, 13, 19, 11, 10, 3, 7, 4, 15, 12, 12, 
137, 13, 12, 8, 17, 12, 22, 3, 7, 4, 17, 8, 9, 
138, 14, 8, 6, 16, 13, 14, 2, 7, 4, 14, 7, 9, 
139, 10, 11, 13, 14, 13, 16, 1, 7, 4, 17, 8, 12, 
140, 11, 8, 9, 11, 13, 15, 21, 10, 4, 10, 11, 9, 
141, 10, 11, 13, 16, 12, 19, 1, 10, 4, 7, 10, 17, 
142, 11, 11, 8, 16, 9, 13, 2, 10, 4, 21, 11, 15, 
143, 13, 11, 7, 13, 11, 16, 1, 10, 4, 8, 12, 9, 
144, 13, 8, 8, 11, 11, 14, 3, 10, 4, 12, 10, 9, 
145, 11, 9, 5, 24, 10, 20, 12, 2, 5, 13, 10, 16, 
146, 6, 6, 8, 21, 12, 18, 2, 2, 5, 14, 8, 13, 
147, 12, 8, 7, 17, 11, 18, 3, 2, 5, 15, 11, 9, 
148, 12, 9, 11, 19, 12, 18, 2, 2, 5, 19, 9, 14, 
149, 10, 12, 10, 19, 9, 24, 1, 2, 5, 18, 11, 12, 
150, 11, 11, 7, 14, 12, 13, 9, 8, 6, 10, 12, 15, 
151, 10, 6, 9, 15, 12, 17, 2, 8, 6, 16, 10, 12, 
152, 13, 5, 4, 14, 10, 14, 3, 8, 6, 8, 11, 10, 
153, 9, 8, 9, 18, 12, 16, 2, 8, 6, 9, 10, 9, 
154, 12, 12, 8, 18, 13, 25, 2, 8, 6, 13, 7, 12, 
155, 9, 7, 9, 7, 12, 14, 6, 11, 2, 17, 10, 13, 
156, 11, 8, 14, 10, 8, 6, 1, 11, 2, 16, 12, 10, 
157, 11, 4, 5, 12, 11, 20, 2, 11, 2, 15, 12, 6, 
158, 11, 10, 8, 12, 12, 16, 2, 11, 2, 16, 12, 10, 
159, 12, 9, 9, 18, 10, 13, 2, 11, 2, 9, 7, 15, 
160, 16, 10, 9, 20, 9, 12, 10, 12, 7, 10, 12, 11, 
161, 3, 13, 9, 13, 14, 14, 2, 12, 7, 14, 9, 9, 
162, 11, 12, 9, 16, 15, 20, 3, 12, 7, 16, 11, 10, 
163, 15, 9, 5, 23, 13, 12, 3, 12, 7, 11, 11, 8, 
164, 11, 7, 10, 15, 13, 16, 4, 12, 7, 22, 7, 13, 
165, 16, 9, 11, 10, 13, 13, 11, 12, 8, 12, 11, 8, 
166, 17, 9, 9, 12, 10, 14, 3, 12, 8, 8, 8, 12, 
167, 11, 7, 9, 25, 11, 18, 3, 12, 8, 10, 9, 14, 
168, 12, 7, 8, 16, 13, 12, 1, 12, 8, 12, 11, 15, 
169, 16, 8, 11, 10, 11, 19, 3, 12, 8, 15, 7, 11, 
170, 10, 9, 8, 11, 9, 11, 16, 3, 9, 12, 11, 14, 
171, 8, 10, 9, 10, 9, 9, 3, 3, 9, 8, 11, 11, 
172, 13, 6, 5, 12, 12, 12, 4, 3, 9, 11, 10, 14, 
173, 14, 11, 10, 21, 10, 16, 3, 3, 9, 12, 12, 13, 
174, 10, 12, 6, 12, 11, 19, 1, 3, 9, 13, 10, 12, 
175, 12, 6, 11, 16, 12, 22, 9, 9, 5, 13, 10, 13, 
176, 11, 11, 6, 16, 13, 16, 2, 9, 5, 13, 9, 9, 
177, 16, 6, 10, 22, 13, 19, 2, 9, 5, 11, 11, 13, 
178, 4, 7, 11, 16, 13, 21, 2, 9, 5, 10, 11, 13, 
179, 5, 14, 10, 23, 13, 14, 1, 9, 5, 21, 10, 11, 
180, 10, 7, 7, 18, 13, 18, 12, 6, 4, 16, 11, 11, 
181, 14, 11, 9, 27, 12, 15, 4, 6, 4, 12, 8, 15, 
182, 15, 7, 9, 14, 11, 20, 3, 6, 4, 9, 10, 14, 
183, 9, 8, 10, 13, 11, 16, 2, 6, 4, 17, 13, 13, 
184, 10, 9, 8, 13, 13, 18, 1, 6, 4, 15, 13, 16, 
185, 12, 11, 5, 20, 12, 11, 13, 9, 5, 17, 9, 12, 
186, 21, 9, 10, 16, 7, 9, 3, 9, 5, 15, 12, 13, 
187, 11, 9, 6, 20, 13, 16, 2, 9, 5, 18, 8, 13, 
188, 20, 10, 11, 24, 13, 21, 2, 9, 5, 14, 12, 14, 
189, 21, 8, 12, 13, 13, 17, 4, 9, 5, 15, 9, 13, 
190, 10, 9, 6, 22, 13, 14, 12, 4, 6, 16, 12, 16, 
191, 14, 6, 13, 15, 11, 12, 3, 4, 6, 11, 11, 12, 
192, 11, 10, 10, 10, 6, 8, 2, 4, 6, 14, 9, 14, 
193, 8, 11, 7, 4, 10, 9, 1, 4, 6, 19, 10, 10, 
194, 18, 6, 11, 13, 10, 11, 2, 4, 6, 19, 8, 10, 
195, 10, 4, 6, 21, 10, 18, 7, 5, 5, 18, 10, 17, 
196, 9, 6, 11, 19, 13, 21, 2, 5, 5, 7, 11, 15, 
197, 11, 10, 12, 18, 12, 20, 3, 5, 5, 8, 9, 5, 
198, 15, 9, 8, 15, 11, 11, 2, 5, 5, 18, 13, 16, 
199, 10, 10, 11, 16, 12, 15, 1, 5, 5, 14, 13, 13, 
200, 8, 11, 8, 19, 13, 20, 10, 9, 6, 7, 12, 13, 
201, 6, 11, 10, 12, 12, 10, 3, 9, 6, 20, 12, 13, 
202, 10, 8, 11, 17, 11, 12, 3, 9, 6, 11, 11, 9, 
203, 9, 8, 15, 15, 13, 14, 1, 9, 6, 18, 10, 19, 
204, 11, 12, 11, 12, 14, 13, 1, 9, 6, 14, 10, 10, 
205, 12, 8, 5, 11, 11, 19, 9, 6, 6, 6, 9, 5, 
206, 17, 9, 12, 15, 12, 10, 2, 6, 6, 15, 11, 14, 
207, 9, 7, 10, 10, 12, 15, 3, 6, 6, 14, 11, 13, 
208, 18, 11, 9, 12, 12, 10, 3, 6, 6, 14, 9, 17, 
209, 13, 13, 12, 11, 9, 10, 3, 6, 6, 12, 13, 15, 
210, 16, 10, 13, 17, 13, 14, 10, 4, 7, 10, 11, 15, 
211, 13, 6, 9, 17, 12, 18, 2, 4, 7, 12, 7, 10, 
212, 9, 5, 6, 15, 11, 16, 1, 4, 7, 11, 11, 8, 
213, 13, 9, 15, 14, 13, 15, 2, 4, 7, 17, 7, 12, 
214, 16, 10, 8, 19, 13, 14, 2, 4, 7, 16, 7, 15, 
215, 12, 5, 14, 20, 12, 13, 11, 13, 7, 20, 9, 13, 
216, 8, 8, 7, 20, 11, 28, 3, 13, 7, 8, 12, 10, 
217, 14, 9, 11, 12, 10, 11, 2, 13, 7, 6, 9, 11, 
218, 8, 7, 9, 16, 7, 9, 1, 13, 7, 13, 10, 12, 
219, 15, 10, 7, 16, 12, 17, 4, 13, 7, 12, 12, 14, 
220, 12, 3, 10, 14, 9, 9, 15, 7, 5, 11, 12, 14, 
221, 16, 8, 6, 21, 12, 17, 3, 7, 5, 13, 7, 12, 
222, 13, 11, 12, 20, 14, 17, 4, 7, 5, 11, 13, 12, 
223, 11, 11, 9, 17, 12, 19, 3, 7, 5, 9, 5, 6, 
224, 13, 11, 12, 15, 13, 18, 2, 7, 5, 15, 10, 16, 
225, 9, 8, 14, 18, 11, 13, 5, 1, 7, 14, 9, 17, 
226, 15, 5, 11, 15, 12, 13, 3, 1, 7, 12, 9, 12, 
227, 10, 12, 13, 13, 13, 19, 4, 1, 7, 17, 11, 10, 
228, 13, 5, 14, 9, 13, 14, 3, 1, 7, 10, 11, 15, 
229, 13, 12, 11, 15, 12, 14, 4, 1, 7, 19, 13, 12, 
230, 10, 11, 12, 21, 13, 20, 11, 13, 7, 22, 8, 12, 
231, 12, 12, 9, 12, 12, 15, 3, 13, 7, 11, 9, 15, 
232, 11, 11, 10, 13, 12, 18, 2, 13, 7, 17, 10, 9, 
233, 9, 10, 11, 15, 8, 11, 3, 13, 7, 10, 10, 15, 
234, 9, 9, 9, 18, 13, 20, 3, 13, 7, 12, 8, 11, 
235, 12, 7, 15, 8, 11, 11, 14, 12, 4, 10, 9, 13, 
236, 16, 8, 11, 17, 11, 17, 3, 12, 4, 12, 10, 17, 
237, 9, 6, 14, 23, 13, 18, 3, 12, 4, 16, 13, 15, 
238, 7, 10, 12, 16, 11, 14, 2, 12, 4, 7, 12, 11, 
239, 15, 10, 9, 9, 13, 10, 2, 12, 4, 16, 10, 12, 
240, 13, 7, 10, 15, 11, 14, 17, 12, 7, 16, 13, 10, 
241, 10, 10, 7, 21, 11, 17, 3, 12, 7, 13, 13, 13, 
242, 9, 9, 11, 15, 10, 8, 3, 12, 7, 21, 12, 10, 
243, 9, 10, 9, 16, 13, 14, 3, 12, 7, 16, 12, 18, 
244, 14, 11, 9, 4, 11, 28, 3, 12, 7, 23, 12, 9, 
245, 10, 7, 7, 13, 12, 16, 18, 5, 6, 15, 13, 14, 
246, 8, 12, 7, 17, 12, 11, 1, 5, 6, 9, 12, 9, 
247, 14, 7, 8, 30, 13, 20, 1, 5, 6, 17, 13, 13, 
248, 12, 10, 8, 12, 12, 13, 1, 5, 6, 18, 12, 13, 
249, 12, 6, 7, 16, 10, 16, 2, 5, 6, 7, 9, 13, 
250, 20, 6, 7, 16, 11, 13, 11, 4, 5, 11, 9, 14, 
251, 10, 4, 6, 16, 12, 12, 1, 4, 5, 19, 10, 12, 
252, 21, 12, 7, 8, 10, 8, 3, 4, 5, 27, 8, 18, 
253, 12, 11, 5, 12, 12, 13, 2, 4, 5, 19, 11, 12, 
254, 12, 4, 16, 16, 11, 13, 1, 4, 5, 14, 10, 10, 
255, 14, 7, 12, 14, 10, 17, 11, 6, 7, 11, 11, 13, 
256, 10, 8, 15, 17, 13, 17, 2, 6, 7, 12, 7, 12, 
257, 7, 7, 9, 10, 11, 11, 2, 6, 7, 22, 11, 11, 
258, 15, 8, 7, 7, 8, 12, 3, 6, 7, 15, 13, 14, 
259, 13, 13, 9, 13, 13, 12, 2, 6, 7, 19, 10, 15, 
260, 14, 5, 11, 11, 10, 10, 14, 5, 8, 17, 11, 15, 
261, 16, 8, 10, 12, 12, 18, 1, 5, 8, 9, 8, 9, 
262, 15, 7, 9, 18, 12, 13, 1, 5, 8, 12, 11, 13, 
263, 12, 5, 6, 27, 10, 19, 2, 5, 8, 11, 9, 14, 
264, 14, 10, 8, 17, 11, 19, 1, 5, 8, 21, 12, 14, 
265, 18, 7, 12, 12, 13, 14, 11, 5, 6, 6, 13, 14, 
266, 8, 11, 12, 15, 11, 13, 4, 5, 6, 15, 11, 12, 
267, 14, 7, 8, 14, 13, 16, 2, 5, 6, 13, 11, 18, 
268, 17, 10, 14, 8, 10, 14, 4, 5, 6, 13, 11, 22, 
269, 13, 5, 12, 19, 13, 17, 2, 5, 6, 13, 13, 16, 
270, 10, 9, 8, 16, 11, 13, 6, 7, 3, 22, 10, 10, 
271, 12, 9, 11, 16, 12, 11, 3, 7, 3, 18, 13, 10, 
272, 17, 11, 10, 12, 13, 15, 3, 7, 3, 13, 14, 13, 
273, 14, 9, 10, 15, 11, 21, 2, 7, 3, 16, 12, 15, 
274, 15, 11, 12, 20, 11, 15, 2, 7, 3, 15, 8, 10, 
275, 12, 9, 5, 30, 11, 19, 10, 6, 5, 17, 11, 9, 
276, 8, 7, 10, 19, 11, 25, 1, 6, 5, 10, 11, 10, 
277, 11, 10, 12, 23, 13, 13, 4, 6, 5, 14, 8, 8, 
278, 20, 7, 13, 13, 10, 6, 2, 6, 5, 10, 8, 17, 
279, 14, 12, 7, 15, 9, 5, 3, 6, 5, 10, 10, 9, 
280, 13, 11, 10, 24, 13, 17, 10, 11, 4, 13, 12, 10, 
281, 12, 8, 12, 20, 9, 8, 2, 11, 4, 16, 9, 11, 
282, 14, 11, 6, 15, 11, 17, 3, 11, 4, 20, 11, 23, 
283, 16, 11, 15, 11, 11, 14, 3, 11, 4, 19, 10, 8, 
284, 10, 13, 11, 15, 12, 18, 1, 11, 4, 9, 11, 8, 
285, 16, 12, 12, 16, 11, 13, 14, 8, 7, 13, 7, 10, 
286, 11, 7, 8, 12, 12, 12, 2, 8, 7, 13, 14, 8, 
287, 14, 14, 12, 18, 12, 17, 3, 8, 7, 16, 10, 13, 
288, 9, 7, 10, 12, 13, 8, 2, 8, 7, 19, 12, 12, 
289, 11, 8, 12, 19, 12, 19, 2, 8, 7, 18, 11, 13, 
290, 15, 5, 12, 16, 11, 21, 12, 9, 5, 23, 12, 17, 
291, 10, 10, 11, 16, 10, 12, 4, 9, 5, 16, 11, 18, 
292, 10, 10, 9, 14, 12, 15, 3, 9, 5, 21, 14, 18, 
293, 12, 4, 11, 14, 14, 14, 2, 9, 5, 24, 9, 12, 
294, 9, 11, 8, 20, 11, 14, 3, 9, 5, 21, 10, 15, 
295, 14, 9, 10, 14, 11, 12, 10, 7, 5, 13, 11, 16, 
296, 15, 9, 12, 14, 13, 10, 1, 7, 5, 11, 13, 14, 
297, 13, 12, 15, 15, 11, 8, 3, 7, 5, 11, 13, 16, 
298, 14, 7, 3, 17, 13, 10, 2, 7, 5, 14, 13, 18, 
299, 15, 12, 10, 14, 9, 7, 3, 7, 5, 8, 10, 14, 
300, 16, 12, 8, 15, 10, 10, 10, 7, 10, 16, 9, 15, 
301, 18, 10, 12, 18, 13, 19, 4, 7, 10, 18, 11, 20, 
302, 14, 9, 14, 20, 12, 17, 2, 7, 10, 14, 11, 21, 
303, 11, 8, 10, 14, 9, 22, 4, 7, 10, 18, 10, 14, 
304, 13, 8, 9, 11, 12, 9, 3, 7, 10, 15, 11, 12, 
305, 4, 9, 7, 15, 12, 19, 15, 5, 6, 23, 12, 11, 
306, 11, 6, 9, 15, 12, 14, 2, 5, 6, 15, 9, 16, 
307, 10, 8, 6, 18, 12, 15, 3, 5, 6, 17, 11, 18, 
308, 11, 9, 8, 18, 11, 16, 2, 5, 6, 16, 12, 16, 
309, 16, 12, 10, 16, 12, 16, 4, 5, 6, 21, 10, 12, 
310, 12, 10, 7, 14, 11, 16, 8, 5, 7, 12, 9, 14, 
311, 16, 10, 13, 15, 11, 16, 4, 5, 7, 10, 11, 13, 
312, 10, 9, 10, 20, 13, 20, 4, 5, 7, 17, 12, 13, 
313, 11, 12, 9, 16, 12, 16, 3, 5, 7, 14, 13, 12, 
314, 21, 7, 10, 15, 8, 22, 3, 5, 7, 11, 10, 15, 
315, 20, 7, 13, 19, 12, 15, 10, 4, 7, 18, 10, 11, 
316, 14, 9, 4, 23, 12, 19, 1, 4, 7, 17, 12, 13, 
317, 3, 11, 8, 10, 10, 10, 2, 4, 7, 25, 12, 14, 
318, 13, 9, 9, 12, 13, 21, 3, 4, 7, 17, 12, 12, 
319, 11, 7, 6, 14, 12, 15, 2, 4, 7, 14, 11, 17, 
320, 10, 12, 11, 15, 13, 21, 9, 8, 6, 13, 14, 15, 
321, 19, 11, 8, 14, 10, 14, 4, 8, 6, 12, 10, 14, 
322, 13, 8, 12, 18, 12, 18, 1, 8, 6, 15, 11, 8, 
323, 12, 9, 10, 17, 14, 22, 4, 8, 6, 14, 9, 14, 
324, 12, 5, 11, 24, 13, 18, 1, 8, 6, 17, 10, 18, 
325, 10, 7, 13, 21, 13, 14, 19, 9, 6, 17, 10, 11, 
326, 10, 10, 7, 12, 10, 16, 3, 9, 6, 28, 12, 13, 
327, 15, 11, 10, 14, 12, 13, 5, 9, 6, 17, 10, 23, 
328, 14, 11, 11, 18, 10, 19, 3, 9, 6, 22, 11, 12, 
329, 14, 8, 11, 12, 13, 12, 1, 9, 6, 19, 10, 17, 
330, 11, 10, 9, 15, 13, 16, 12, 10, 7, 12, 10, 7, 
331, 8, 10, 12, 11, 13, 20, 3, 10, 7, 16, 10, 16, 
332, 14, 11, 10, 15, 11, 12, 4, 10, 7, 14, 9, 10, 
333, 16, 11, 8, 15, 12, 10, 2, 10, 7, 20, 12, 12, 
334, 10, 10, 16, 20, 12, 13, 4, 10, 7, 18, 11, 18, 
335, 12, 12, 12, 11, 13, 10, 7, 5, 8, 13, 10, 8, 
336, 10, 12, 8, 17, 12, 12, 1, 5, 8, 15, 12, 16, 
337, 9, 10, 5, 23, 12, 15, 1, 5, 8, 8, 11, 12, 
338, 10, 8, 9, 15, 12, 14, 3, 5, 8, 17, 10, 15, 
339, 12, 10, 6, 21, 10, 18, 2, 5, 8, 9, 11, 13, 
